Kommune;DepartmentID;OrgNo;Skole;Bydel
Oslo;5152;975013286;Kristelig gymnasium AS Grunnskole;blandet
Oslo;3181;974589923;Lakkegata skole;Grünerløkka
Oslo;3182;974589931;Lambertseter skole;Nordstrand
Oslo;3184;874589942;Lilleaker skole;Ullern
Oslo;3185;974589958;Lilleborg skole;Sagene
Oslo;3186;974590468;Lindeberg skole;Alna
Oslo;3187;974589966;Linderud skole;Bjerke
Oslo;3157;973465139;Ljabruskolen - Steinerskole for Elever Med Spesielle Behov;blandet
Oslo;3188;974589974;Ljan skole;Nordstrand
Oslo;3189;974590794;Lofsrud skole;Søndre Nordstrand
Oslo;3190;973626450;Lusetjern skole;Søndre Nordstrand
Oslo;3191;976811232;Lutvann skole;Alna
Oslo;5435;976939190;Lycee Francais Rene Cassin Doslo;blandet
Oslo;3192;974590522;Lysejordet skole;Ullern
Oslo;3193;974590786;Lønnebakken skole;Ullern
Oslo;39626;912033333;Løren skole;Bjerke
Oslo;3195;974589990;Majorstuen skole;Frogner
Oslo;3196;874590002;Manglerud skole;Østensjø
Oslo;3198;974590018;Maridalen skole;Nordre Aker
Oslo;3199;974590026;Marienlyst skole;St. Hanshaugen
Oslo;3200;974590808;Midtstuen skole;Vestre Aker
Oslo;37144;998469635;Morellbakken skole;Nordre Aker
Oslo;3203;974590492;Mortensrud skole;Søndre Nordstrand
Oslo;3204;974590034;Munkerud skole;Nordstrand
Oslo;3205;974590042;Møllergata skole;St. Hanshaugen
Oslo;3207;974590476;Nedre Bekkelaget skole;Nordstrand
Oslo;3208;979120087;Nordberg skole;Nordre Aker
Oslo;37115;997621506;Nordpolen skole;Sagene
Oslo;3209;974590611;Nordseter skole;Nordstrand
Oslo;3210;974590069;Nordstrand skole;Nordstrand
Oslo;42320;926000705;Nordstrand ungdomsskole;Nordstrand
Oslo;3212;974590077;Nordtvet skole;Grorud
Oslo;3213;974590816;Nordvoll skole;blandet
Oslo;40665;915601618;Norlights International School Oslo AS;blandet
Oslo;40584;913711793;Norsk Restaurantskole;blandet
Oslo;3216;885142362;Nyskolen i Oslo;blandet
Oslo;3217;974590085;Nøklevann skole;Østensjø
Oslo;3218;974590093;Oppsal skole;Østensjø
Oslo;40581;813993422;Oslo kommune Språksenteret;blandet
Oslo;3223;973488910;Oslo Montessoriskole;blandet
Oslo;3229;974590107;Prinsdal skole;Søndre Nordstrand
Oslo;3194;974589982;Refstad skole;Bjerke
Oslo;3230;974590824;Ris skole;Vestre Aker
Oslo;3231;974590115;Rommen skole;Stovner
Oslo;3232;974590050;Rosenholm skole;Søndre Nordstrand
Oslo;3233;974117096;Rudolf Steinerskolen i Oslo;blandet
Oslo;3234;974590131;Ruseløkka skole;Frogner
Oslo;3235;874590142;Rustad skole;Østensjø
Oslo;3236;975079465;Ryenberget skole;blandet
Oslo;3237;974590158;Rødtvet skole;Grorud
Oslo;3238;974590166;Sagene skole;Sagene
Oslo;3241;979127502;Seterbråten skole;Søndre Nordstrand
Oslo;3242;974590174;Sinsen skole;Grünerløkka
Oslo;3243;874590282;Skjønnhaug skole;Alna
Oslo;3244;979126352;Skullerud skole;Østensjø
Oslo;3245;979128134;Skøyen skole;Ullern
Oslo;3246;876805022;Skøyenåsen skole;Østensjø
Oslo;3247;974590182;Slemdal skole;Vestre Aker
Oslo;3248;974590190;Smestad skole;Ullern
Oslo;39633;912187071;Sofienberg skole;Grünerløkka
Oslo;3253;973626434;Sollerudstranda skole;Ullern
Oslo;3254;974117088;St Sunniva skole Avd Undervisning;blandet
Oslo;3255;974590646;Stasjonsfjellet skole;Stovner
Oslo;3257;977509777;Steinerskolen på Nordstrand;blandet
Oslo;3258;975960277;Stenbråten skole;Søndre Nordstrand
Oslo;3202;979718403;Stiftelsen Montessoriskolen Lyse;blandet
Oslo;3260;974590212;Stovner skole;Stovner
Oslo;3264;979127413;Svendstuen skole;Vestre Aker
Oslo;3266;974590220;Sørkedalen skole;Vestre Aker
Oslo;40577;913579321;Teglverket skole Barne- og ungdomsskole;Grünerløkka
Oslo;3267;974590123;Tiurleiken skole;Grorud
Oslo;3268;874590622;Tokerud skole;Stovner
Oslo;3269;974590239;Tonsenhagen skole;Bjerke
Oslo;3270;974590484;Toppåsen skole;Søndre Nordstrand
Oslo;3271;974590247;Trasop skole;Østensjø
Oslo;3272;974590255;Trosterud skole;Alna
Oslo;3273;974590263;Tveita skole;Alna
Oslo;3274;974590271;Tøyen skole;Gamle Oslo
Oslo;3275;974590298;Tåsen skole;Nordre Aker
Oslo;3277;974590301;Ullevål skole;Nordre Aker
Oslo;3278;974590689;Ullevålsveien skole;blandet
Oslo;3280;974590328;Uranienborg skole;Frogner
Oslo;3282;879126312;Vahl skole;Gamle Oslo
Oslo;3283;974590336;Veitvet skole;Bjerke
Oslo;3284;974590344;Vestli skole;Stovner
Oslo;3285;974590654;Vestre Aker skole;blandet
Oslo;3287;973626361;Vetland skole grunnskole;blandet
Oslo;3288;974590352;Vinderen skole;Vestre Aker
Oslo;3289;974590360;Voksen skole;Vestre Aker
Oslo;3290;974590727;Voksentoppen skole;blandet
