Kommune;DepartmentID;OrgNo;Skole;Bydel;GEO
Oslo;3207;974590476;Nedre Bekkelaget skole;Nordstrand;030114
Oslo;3208;979120087;Nordberg skole;Nordre Aker;030108
Oslo;37115;997621506;Nordpolen skole;Sagene;030103
Oslo;3209;974590611;Nordseter skole;Nordstrand;030114
Oslo;3210;974590069;Nordstrand skole;Nordstrand;030114
Oslo;42320;926000705;Nordstrand ungdomsskole;Nordstrand;030114
Oslo;3212;974590077;Nordtvet skole;Grorud;030110
Oslo;3217;974590085;Nøklevann skole;Østensjø;030113
Oslo;3218;974590093;Oppsal skole;Østensjø;030113
Oslo;3229;974590107;Prinsdal skole;Søndre Nordstrand;030115
Oslo;3194;974589982;Refstad skole;Bjerke;030109
Oslo;3230;974590824;Ris skole;Vestre Aker;030107
Oslo;3231;974590115;Rommen skole;Stovner;030111
Oslo;3232;974590050;Rosenholm skole;Søndre Nordstrand;030115
Oslo;3234;974590131;Ruseløkka skole;Frogner;030105
Oslo;3235;874590142;Rustad skole;Østensjø;030113
Oslo;3237;974590158;Rødtvet skole;Grorud;030110
Oslo;3238;974590166;Sagene skole;Sagene;030103
Oslo;3241;979127502;Seterbråten skole;Søndre Nordstrand;030115
Oslo;3242;974590174;Sinsen skole;Grünerløkka;030102
Oslo;3243;874590282;Skjønnhaug skole;Alna;030112
Oslo;3244;979126352;Skullerud skole;Østensjø;030113
Oslo;3245;979128134;Skøyen skole;Ullern;030106
Oslo;3246;876805022;Skøyenåsen skole;Østensjø;030113
Oslo;3247;974590182;Slemdal skole;Vestre Aker;030107
Oslo;3248;974590190;Smestad skole;Ullern;030106
Oslo;39633;912187071;Sofienberg skole;Grünerløkka;030102
Oslo;3253;973626434;Sollerudstranda skole;Ullern;030106
Oslo;3255;974590646;Stasjonsfjellet skole;Stovner;030111
Oslo;3258;975960277;Stenbråten skole;Søndre Nordstrand;030115
Oslo;3260;974590212;Stovner skole;Stovner;030111
Oslo;3264;979127413;Svendstuen skole;Vestre Aker;030107
Oslo;3266;974590220;Sørkedalen skole;Vestre Aker;030107
Oslo;40577;913579321;Teglverket skole Barne- og ungdomsskole;Grünerløkka;030102
Oslo;3267;974590123;Tiurleiken skole;Grorud;030110
Oslo;3268;874590622;Tokerud skole;Stovner;030111
Oslo;3269;974590239;Tonsenhagen skole;Bjerke;030109
Oslo;3270;974590484;Toppåsen skole;Søndre Nordstrand;030115
Oslo;3271;974590247;Trasop skole;Østensjø;030113
Oslo;3272;974590255;Trosterud skole;Alna;030112
Oslo;3273;974590263;Tveita skole;Alna;030112
Oslo;3274;974590271;Tøyen skole;Gamle Oslo;030101
Oslo;3275;974590298;Tåsen skole;Nordre Aker;030108
Oslo;3277;974590301;Ullevål skole;Nordre Aker;030108
